/hc                                                                                                        /
/hc/en-us                                                                                                  /
/hc/en-us/articles/360032246812-Add-New-G-Suite-Subscription-                                              /docs/g-suite-and-workspace/add-a-new-g-suite-subscription
/hc/en-us/articles/360032246892-Invite-Existing-AWS-Account                                                /docs/amazon-web-services/invite-existing-aws-account
/hc/en-us/articles/360032246932-Access-An-Existing-Support-Request                                         /docs/services/consulting-support#view-tickets
/hc/en-us/articles/360032254572-Change-Company-Name                                                        /docs/invoices-and-payments/changing-your-company-name
/hc/en-us/articles/360032254732-Update-Payment-Method                                                      /docs/invoices-and-payments/updating-your-payment-method
/hc/en-us/articles/360032254792-Set-Up-New-Billing-Profile                                                 /docs/invoices-and-payments/setting-up-a-new-billing-profile
/hc/en-us/articles/360032255032-Pay-Invoice-with-Credit-Card-ACH                                           /docs/invoices-and-payments/paying-invoices-with-credit-card-or-ach
/hc/en-us/articles/360032598051-Login                                                                      /docs/general/log-in
/hc/en-us/articles/360032598191-Viewing-Your-User-Profile                                                  /docs/general/profile
/hc/en-us/articles/360032598471                                                                            /docs/google-cloud/create-google-cloud-billing-account
/hc/en-us/articles/360032598471-Create-Google-Cloud-Billing-Account                                        /docs/google-cloud/create-google-cloud-billing-account
/hc/en-us/articles/360032598491-Create-An-AWS-Account                                                      /docs/amazon-web-services/create-an-aws-account
/hc/en-us/articles/360032598511-Open-A-New-Support-Request                                                 /docs/services/consulting-support#create-a-new-request
/hc/en-us/articles/360032605811-Download-Invoice-Reconciliation-File                                       /docs/invoices-and-payments/downloading-your-invoice-reconciliation-file
/hc/en-us/articles/360032605871                                                                            /docs/cmp
/hc/en-us/articles/360033158952-Create-A-New-Dashboard                                                     /docs/dashboards/creating-a-new-dashboard
/hc/en-us/articles/360033254031-User-Permissions                                                           /docs/user-management/user-permissions-explained
/hc/en-us/articles/360033254111--Change-Invoice-Settings                                                   /docs/invoices-and-payments/changing-invoice-settings
/hc/en-us/articles/360033488532-Access-Public-Dashboard                                                    /docs/dashboards/accessing-a-public-dashboard
/hc/en-us/articles/360034118632                                                                            /docs/invoices-and-payments/setting-up-ach-payments
/hc/en-us/articles/360034118632-Setup-ACH-Payments                                                         /docs/invoices-and-payments/setting-up-ach-payments
/hc/en-us/articles/360034919292-Tag-Assets                                                                 /docs/assets-and-contracts/tag-assets
/hc/en-us/articles/360035101912-Connect-Your-Google-Cloud-Organization                                     /docs/google-cloud/connect-google-cloud-service-account
/hc/en-us/articles/360035605591-Add-your-Amazon-Web-Services-IAM-Role                                      /docs/amazon-web-services/link-account#creating-an-aws-iam-role
/hc/en-us/articles/360035605591-Connect-Your-Amazon-Web-Services-Account                                   /docs/amazon-web-services/link-account
/hc/en-us/articles/360035689731                                                                            /docs/anomaly-detection/cloud-anomalies
/hc/en-us/articles/360035689731-Cost-Anomalies-for-Google-Cloud                                            /docs/anomaly-detection/cloud-anomalies
/hc/en-us/articles/360035741492-Ticket-Sharing                                                             /docs/services/consulting-support/ticket-sharing
/hc/en-us/articles/360036449891                                                                            /docs/dashboards/aws-lens
/hc/en-us/articles/360036449891-AWS-FinOps-Dashboard                                                       /docs/dashboards/aws-lens
/hc/en-us/articles/360037219472-Create-An-AWS-Account-Video-                                               /docs/amazon-web-services/create-an-aws-account
/hc/en-us/articles/360037476972-Update-Payment-Method-Video-                                               /docs/invoices-and-payments/updating-your-payment-method
/hc/en-us/articles/360037477152-Update-Accounts-Payable-AP-Information-Video-                              /docs/invoices-and-payments/updating-your-accounts-payable-ap-information
/hc/en-us/articles/360037549512-New-Invoices                                                               /docs/general/profile#notification-preferences
/hc/en-us/articles/360037587311-Company-Registration                                                       /docs/general/registration
/hc/en-us/articles/360037915472-Configure-Cost-Labels-reOptimize-                                          /docs/dashboards/bigquery-lens
/hc/en-us/articles/360037917591-Payment-Reminders                                                          /docs/general/profile#notification-preferences
/hc/en-us/articles/360037917611-Cloud-Credits                                                              /docs/dashboards/widgets-overview#credits
/hc/en-us/articles/360038041751-Configure-Auto-Increase-for-G-Suite-Subscriptions                          /docs/g-suite-and-workspace/configure-auto-increase-for-google-workspace-subscriptions
/hc/en-us/articles/360038098731-Upgrading-G-Suite-Edition-                                                 /docs/g-suite-and-workspace/upgrading-your-g-suite-edition
/hc/en-us/articles/360038122452-Transfer-Google-Cloud-Projects-                                            /docs/google-cloud/transfer-google-cloud-projects
/hc/en-us/articles/360038354291-reOptimize-Data-Access-Policy                                              /docs/dashboards/bigquery-lens
/hc/en-us/articles/360038501431-Transfer-Google-Cloud-Projects-Video-                                      /docs/google-cloud/transfer-google-cloud-projects
/hc/en-us/articles/360038581272-AWS-Migration-TCO-Analysis                                                 /docs/amazon-web-services/invite-existing-aws-account
/hc/en-us/articles/360038791071                                                                            /docs/amazon-web-services/aws-quotas
/hc/en-us/articles/360038791071-AWS-Service-Limits-Quotas-Alerts                                           /docs/amazon-web-services/aws-quotas
/hc/en-us/articles/360038826252                                                                            /docs/cmp
/hc/en-us/articles/360039630271                                                                            /docs/cmp
/hc/en-us/articles/360040580752-BigQuery-FinOps-Dashboard                                                  /docs/dashboards/bigquery-lens
/hc/en-us/articles/360040580752-superQuery-Dashboard                                                       /docs/dashboards/bigquery-lens
/hc/en-us/articles/360042369611-Configure-A-Policy-For-Sandbox-Accounts                                    /docs/cloud-sandbox-management/configuring-a-policy-for-sandbox-accounts
/hc/en-us/articles/360042369611-Configure-A-Policy-For-Sandbox-Accounts/subscription.html                  /docs/cloud-sandbox-management/configuring-a-policy-for-sandbox-accounts
/hc/en-us/articles/360042612671                                                                            /docs/cloud-sandbox-management/create-gcp-sandbox-accounts
/hc/en-us/articles/360042612671-Create-Google-Cloud-Sandbox-Accounts                                       /docs/cloud-sandbox-management/create-gcp-sandbox-accounts
/hc/en-us/articles/360042647732-General-Vendor-Information                                                 /docs/vendor-information/general-vendor-information
/hc/en-us/articles/360043066911-How-do-I-transfer-my-existing-G-Suite-subscription-to-DoiT-International-  /docs/g-suite-and-workspace/how-do-i-transfer-my-existing-g-suite-subscription-to-doit-international
/hc/en-us/articles/360045277012-Export-Cloud-Report                                                        /docs/cloud-analytics/exporting-cloud-reports#ways-to-export-cloud-analytics-reports
/hc/en-us/articles/360045644211-Creating-a-Cloud-Report                                                    /docs/cloud-analytics/create-cloud-report
/hc/en-us/articles/360045645591-Editing-your-Cloud-Report                                                  /docs/cloud-analytics/editing-your-cloud-report
/hc/en-us/articles/360045700631-Share-Cloud-Reports                                                        /docs/cloud-analytics/sharing-cloud-reports
/hc/en-us/articles/360046375592-Clone-Customize-Cloud-Reports                                              /docs/cloud-analytics/cloning-and-or-customizing-cloud-reports
/hc/en-us/articles/360046378512                                                                            /docs/cmp
/hc/en-us/articles/360046378512-Introduction-to-the-Cloud-Management-Platform                              /docs/cmp
/hc/en-us/articles/360046780572-Using-Aggregations-in-Cloud-Reports                                        /docs/cloud-analytics/using-aggregations-in-cloud-reports
/hc/en-us/articles/360047018932-Supported-AWS-Cost-Allocation-Tags                                         /docs/amazon-web-services/supported-aws-cost-allocation-tags
/hc/en-us/articles/360048197072-Connect-Google-Cloud-Service-Account                                       /docs/google-cloud/connect-google-cloud-service-account
/hc/en-us/articles/360050404732-Managing-Alerts-in-Shared-Slack-Channels                                   /docs/services/consulting-support/shared-slack-channel
/hc/en-us/categories/200035127-Cloud-Management-Platform                                                   /docs/cmp
/hc/en-us/sections/360006079692-Manage-Assets-Licenses                                                     /docs/cmp#asset-management
/hc/en-us/sections/360006391112-Customer-Support                                                           /docs/services/consulting-support
/hc/en-us/sections/360006391112-Customer-Support                                                           /docs/services/consulting-support
/hc/en-us/sections/360006391152-Invoices-Payments                                                          /docs/cmp#advanced-billing
/hc/en-us/sections/360006391192-Dashboards                                                                 /docs/dashboards/widgets-overview
/hc/en-us/sections/360007135191-Connect-Your-Cloud                                                         /docs/cmp#asset-management
/hc/en-us/sections/360007366572-Video-Tutorials                                                            /docs/cmp
/hc/en-us/sections/360007601631-reOptimize                                                                 /docs/dashboards/bigquery-lens
/hc/en-us/sections/360008583992-Cloud-Sandbox-Management                                                   /docs/cmp#cloud-sandboxes
/hc/en-us/sections/360008805191-G-Suite                                                                    /docs/cmp#asset-management
/hc/en-us/sections/360008830772-Anomaly-Detection                                                          /docs/cmp#cost-anomalies
/hc/en-us/sections/360008939951-AWS-Flex-RIs                                                               /docs/flexsave/csp/aws
/hc/en-us/sections/360009379892-Cloud-Analytics                                                            /docs/cmp#cloud-analytics
/hc/en-us/sections/360009379892-Cloud-Reports                                                              /docs/cmp#reports
